year,region,annual_consumption_kwh,annual_cost_sar,winter_consumption_kwh,rest_of_year_consumption_kwh,winter_cost_sar,rest_of_year_cost_sar,average_cost_sar_per_kwh,winter_consumption_share_pct,selected_source,source_file,time_index,region_id,rest_to_winter_consumption_ratio,winter_to_rest_consumption_ratio,winter_cost_share_pct,consumption_lag_1,cost_lag_1,consumption_lag_2,cost_lag_2,consumption_rolling_mean_2,consumption_rolling_std_2,cost_rolling_mean_2,consumption_growth_lag_1_pct,cost_growth_lag_1_pct,winter_consumption_growth_lag_1_pct,rest_consumption_growth_lag_1_pct,region_historical_mean_consumption,region_historical_mean_cost,source_lineage
2019,Makkah,49646990867,12489950209,9811340713,39835650154,2019019112,10470931097,0.251575170838843,19.7622062116186,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,8,4.06016377570273,0.246295483444364,16.165149405841,65594746995,6298253071,65176664348.3867,5824729025.39949,65385705671.6934,295629074.516651,6061491048.19975,0.641460637473701,8.12954634517153,2.63499698153029,0.270494154875567,65385705671.6934,6061491048.19975,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Makkah,54697403161,11578548744,9513673122,45183730039,1827323739,9751225005,0.211683701142428,17.3932811654638,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,8,4.74934648895119,0.21055528425361,15.7819756119861,49646990867,12489950209,65594746995,6298253071,57620868931,11276766502.8181,9394101640,-24.3125507126594,98.3081668551772,-6.51414188384531,-27.7026624402674,60139467403.4622,8204310768.4665,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
2021,Makkah,54498273349,12442921930,9119507632,45378765717,2009727458,10433194472,0.228317727615279,16.7335716740966,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,8,4.97601049839222,0.200964206229691,16.1515717072413,54697403161,11578548744,49646990867,12489950209,52172197014,3571180780.87532,12034249476.5,10.1726453221095,-7.2970784490659,-3.03391350588398,13.4253611132866,58778951342.8467,9047870262.34987,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
2022,Makkah,41763390208.7803,8990658807.70177,6905449416.63784,34857940792.1425,1506458087.92326,7484200719.77851,0.215276077031974,16.5346955362499,GASTAT original workbook,HouseholdEnergyStatistics2022En.xlsx,5,8,5.04788880332053,0.198102620513787,16.7558142305742,54498273349,12442921930,54697403161,11578548744,54597838255,140806040.401822,12010735337,-0.364057159009668,7.46529815705892,-4.14314728859569,0.431650237445336,57922815744.0773,9726880595.8799,GASTAT original workbook | HouseholdEnergyStatistics2022En.xlsx
2019,Najran,3311651001,788501856,743954708,2567696293,168123136,620378720,0.238099321384379,22.464767808424,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,9,3.45141480440769,0.289736255034582,21.3218440414172,4829334084,463561284,4791336394.2692,505799205.331946,4810335239.1346,26868424.0780685,484680244.665973,0.793049926034084,-8.35072908116303,1.62630233682408,0.634170793144495,4810335239.1346,484680244.665973,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Najran,2789328989,564794992,569210792,2220118197,110480000,454314992,0.20248417960998,20.406728437009,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,9,3.90034452649661,0.256387607096398,19.5610799608506,3311651001,788501856,4829334084,463561284,4070492542.5,1073163999.68141,626031570,-31.4263427752537,70.0965726033324,-4.59171134403977,-36.5934392276268,4310773826.42307,585954115.110649,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
2021,Najran,2018166709,478249987,429201785,1588964924,95069179,383180808,0.236972488381286,21.2669143280373,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,9,3.70213959851076,0.270114071441894,19.8785533892759,2789328989,564794992,3311651001,788501856,3050489995,369337436.648197,676648424,-15.7722541367517,-28.3711271315004,-23.4885153788152,-13.5365735016077,3930412617.0673,580664334.332987,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
2022,Najran,2690828097.81257,577871432.667818,473619158.647324,2217208939.16525,103258087.857635,474613344.810183,0.214755982791164,17.6012417527652,GASTAT original workbook,HouseholdEnergyStatistics2022En.xlsx,5,9,4.68141733433607,0.213610521895891,17.8686957029404,2018166709,478249987,2789328989,564794992,2403747849,545294077.583275,521522489.5,-27.6468743214284,-15.3232599838633,-24.5970401418531,-28.4288140087705,3547963435.45384,560181464.866389,GASTAT original workbook | HouseholdEnergyStatistics2022En.xlsx
2019,Northern Borders,1846945350,440027650,476021255,1370924095,142002715,298024935,0.23824616683975,25.7734347689281,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,10,2.87996403647984,0.347226558156015,32.2713163593242,2216659455,194827934,2142165202.3381,153329672.080928,2179412328.66905,52675391.2166557,174078803.040464,3.47752136859449,27.064730104666,0.752241273270449,4.22585037977843,2179412328.66905,174078803.040464,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Northern Borders,1726942826,351519795,379159286,1347783540,83999462,267520333,0.203550337456279,21.9555204892464,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,10,3.55466314492427,0.281320608797463,23.8960830072173,1846945350,440027650,2216659455,194827934,2031802402.5,261427350.745815,317427792,-16.6788860673233,125.854496819743,2.37809193410559,-21.7373043604792,2068590002.44603,262728418.693643,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
