year,region_original,region,season,measure,unit,value,source_type,source_file,source_sheet,source_table,source_excel_row
2018,Northern Borders,Northern Borders,Rest of the year,Consumption,kWh,1751695471.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Northern Borders,Northern Borders,Rest of the year,Cost,SAR,160173685.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Northern Borders,Northern Borders,Winter,Consumption,kWh,464963984.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Northern Borders,Northern Borders,Winter,Cost,SAR,34654249.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Riyadh,Riyadh,Rest of the year,Consumption,kWh,58643764566.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Riyadh,Riyadh,Rest of the year,Cost,SAR,6788343838.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Riyadh,Riyadh,Winter,Consumption,kWh,9687768245.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Riyadh,Riyadh,Winter,Cost,SAR,704968500.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Tabuk,Tabuk,Rest of the year,Consumption,kWh,4777892250.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Tabuk,Tabuk,Rest of the year,Cost,SAR,408817758.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Tabuk,Tabuk,Winter,Consumption,kWh,1119707072.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Tabuk,Tabuk,Winter,Cost,SAR,76501190.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Total,Total,Rest of the year,Consumption,kWh,221519993629.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Total,Total,Rest of the year,Cost,SAR,24123443309.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Total,Total,Winter,Consumption,kWh,41515758849.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Total,Total,Winter,Cost,SAR,3115154490.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al-Bahah,Al-Bahah,Rest of the year,Consumption,kWh,2205899137.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al-Bahah,Al-Bahah,Rest of the year,Cost,SAR,683330764.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al-Bahah,Al-Bahah,Winter,Consumption,kWh,583781957.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al-Bahah,Al-Bahah,Winter,Cost,SAR,153285758.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al-Jouf,Al-Jouf,Rest of the year,Consumption,kWh,2565128025.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al-Jouf,Al-Jouf,Rest of the year,Cost,SAR,944422326.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al-Jouf,Al-Jouf,Winter,Consumption,kWh,700853935.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al-Jouf,Al-Jouf,Winter,Cost,SAR,178038911.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
